type,term,contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,discipline,outcome_type,regression_type
response,treat,Jan-00,-1.858827552,0.463973739,-4.006320613,6.17E-05,-2.76819937,-0.949455735,Psychology,Citation Cascade SP,100PercentLm
response,treat,Jan-00,-255.7515295,182.9534612,-1.397904843,0.162141644,-614.3337243,102.8306653,Psychology,Citation Cascade SP,Negative-binomial
response,treat,Jan-00,1.535700848,0.264064263,5.815633017,6.04E-09,1.018144402,2.053257293,Medicine,10YearCitation,Zero-inflatedmodels
response,treat,Jan-00,-0.004179908,9.35E-05,-44.69090881,0,-0.004363223,-0.003996594,Medicine,Reference Cascade NC,lm
response,treat,Jan-00,-8.951044006,0.165186735,-54.18742613,0,-9.274804057,-8.627283954,Medicine,Reference Cascade NC,100PercentLm
response,treat,Jan-00,0.435975799,0.005633974,77.38335161,0,0.424933412,0.447018185,Medicine,Reference Cascade SP,lm
response,treat,Jan-00,1958.94212,24.91246084,78.63302355,0,1910.114594,2007.769646,Medicine,Reference Cascade SP,Negative-binomial
response,treat,Jan-00,11.93976437,0.109589704,108.9496907,0,11.72497249,12.15455624,Medicine,Reference Cascade SP,100PercentLm
response,treat,Jan-00,-0.002147381,0.000144657,-14.84461754,7.54E-50,-0.002430904,-0.001863858,Medicine,Citation Cascade NC,lm
response,treat,Jan-00,-2.436379823,0.122618422,-19.86960668,7.46E-88,-2.676707515,-2.196052132,Medicine,Citation Cascade NC,100PercentLm
response,treat,Jan-00,0.253324526,0.00732143,34.60041414,2.49E-262,0.238974786,0.267674266,Medicine,Citation Cascade SP,lm
response,treat,Jan-00,2.969432706,0.077570359,38.28050723,0,2.817397595,3.121467817,Medicine,Citation Cascade SP,100PercentLm
response,treat,Jan-00,1797.862984,17405.50498,0.103292779,0.917730606,-32316.29991,35912.02588,Medicine,Citation Cascade SP,Negative-binomial
response,treat,Jan-00,8.395762693,1.830818708,4.585796865,4.52E-06,4.807423963,11.98410142,Physics,10YearCitation,Zero-inflatedmodels
response,treat,Jan-00,-0.004987157,0.000313563,-15.90478633,5.87E-57,-0.00560173,-0.004372585,Physics,Reference Cascade NC,lm
response,treat,Jan-00,-7.049858149,0.292620993,-24.09211341,3.02E-128,-7.623384756,-6.476331541,Physics,Reference Cascade NC,100PercentLm
response,treat,Jan-00,0.031393558,0.01557091,2.016167274,0.043782487,0.000875136,0.061911981,Physics,Reference Cascade SP,lm
response,treat,Jan-00,41.99258483,44.66796811,0.940105105,0.347163651,-45.55502392,129.5401936,Physics,Reference Cascade SP,Negative-binomial
response,treat,Jan-00,0.893449256,0.198912918,4.49166029,7.07E-06,0.5035871,1.283311412,Physics,Reference Cascade SP,100PercentLm
